first_name,last_name,school,position,height,weight,40time,bench,vert,broad,shuttle,3cone
Mitchell,Trubisky,North Carolina,QB,74,222,4.67,,27.5,115,4.25,6.87
Deshaun,Watson,Clemson,QB,74,221,4.66,,32.5,117,4.31,6.95
DeShone,Kizer,Notre Dame,QB,76,233,4.83,,30.5,105,4.53,7.4
Patrick,Mahomes,Texas Tech,QB,74,225,4.8,,30.0,113,4.08,6.88
Davis,Webb,California,QB,77,229,4.79,,33.0,116,4.21,6.92
Nathan,Peterman,Pittsburgh,QB,74,226,4.82,,31.0,110,4.31,7.14
Brad,Kaaya,Miami (FL),QB,76,214,4.84,,,,,
Joshua,Dobbs,Tennessee,QB,75,216,4.64,,33.0,122,4.31,6.75
C.J.,Beathard,Iowa,QB,74,219,4.92,,31.0,112,,
Chad,Kelly,Mississippi,QB,74,228,4.76,,,,,
Alek,Torgersen,Pennsylvania,QB,74,218,4.91,,,,,
Jerod,Evans,Virginia Tech,QB,75,232,4.8,,26.5,111,4.41,
Seth,Russell,Baylor,QB,75,213,4.67,,,,,
Cooper,Rush,Central Michigan,QB,75,228,4.93,,27.0,104,4.47,7.23
Trevor,Knight,Texas AM,QB,73,219,4.54,,35.5,124,4.14,7.04
Sefo,Liufau,Colorado,QB,75,232,5.08,,27.0,104,4.45,7.32
Bart,Houston,Wisconsin,QB,75,234,5.12,,,,,
Taysom,Hill,Brigham Young,QB,74,230,4.46,,,,,
Jeremy,Johnson,Auburn,QB,76,232,4.75,,,,,
Wes,Lunt,Illinois,QB,76,222,4.87,,,,,
Ryan,Higgins,Louisiana Tech,QB,73,211,4.74,,,,,
Patrick,Towles,Boston College,QB,77,241,4.6,,,,,
Mitch,Leidner,Minnesota,QB,75,226,4.93,,34.5,123,4.25,6.96
Zach,Terrell,Western Michigan,QB,73,212,5.02,,,,,
Dane,Evans,Tulsa,QB,72,210,5.05,,,,,
Gunner,Kiel,Cincinnati,QB,75,211,4.84,,,,,
Austin,Appleby,Florida,QB,76,230,4.86,,,,,
Antonio,Pipkin,Tiffin,QB,73,225,4.66,,,,,
Brady,Gustafson,Montana,QB,78,230,5.04,,,,,
Eli,Jenkins,Jacksonville State,QB,73,208,4.72,,,,,
Garrett,Fugate,Central Missouri,QB,74,210,4.69,,,,,
Phillip,Walker,Temple,QB,71,214,4.74,,,,,
Philip,Nelson,East Carolina,QB,73,203,4.8,,,,,
Kyle,Sloter,Northern Colorado,QB,77,211,4.79,,,,,
Mike,Fafaul,UCLA,QB,74,213,4.89,,,,,
Skyler,Howard,West Virginia,QB,71,208,4.64,,,,,
Jeff,Kidd,Long Island-Post,QB,75,225,4.91,,,,,
Sean,Maguire,Florida State,QB,74,219,5.24,,,,,
Dillon,Buechel,Duquesne,QB,75,211,4.96,,,,,
Nick,Mullens,Southern Miss,QB,73,214,4.9,,,,,
Perry,Hills,Maryland,QB,74,209,4.69,,,,,
Tyler,OConnor,Michigan State,QB,75,218,4.92,,,,,
Austin,Apodaca,New Mexico,QB,74,214,4.74,,,,,
Justin,Holman,Central Florida,QB,76,215,4.71,,,,,
Trenton,Norvell,Western Illinois,QB,76,222,4.92,,,,,
Matt,Davis,Southern Methodist,QB,71,212,4.67,,,,,
Tyler,Ferguson,Western Kentucky,QB,75,224,5.11,,,,,
Jack,Nelson,Winona State,QB,76,237,4.85,,,,,
Josh,Straughan,Southern Illinois,QB,74,211,4.91,,,,,
Michael,Birdsong,Tennessee Tech,QB,76,241,4.97,,,,,
Leonard,Fournette,LSU,RB,72,240,4.51,,28.5,,,
Christian,McCaffrey,Stanford,RB,71,202,4.48,10,37.5,121,4.22,6.57
Dalvin,Cook,Florida State,RB,70,210,4.49,22,30.5,116,4.53,7.27
Alvin,Kamara,Tennessee,RB,70,214,4.56,15,39.5,131,,
Joe,Mixon,Oklahoma,RB,73,228,4.45,,,,,
Samaje,Perine,Oklahoma,RB,71,233,4.65,30,33.0,116,4.37,7.26
Kareem,Hunt,Toledo,RB,70,216,4.62,18,36.5,119,,
DOnta,Foreman,Texas,RB,72,233,4.46,18,,,,
Marlon,Mack,South Florida,RB,71,213,4.5,15,35.5,125,,
Wayne,Gallman,Clemson,RB,72,215,4.6,21,29.5,120,4.28,7.17
Jamaal,Williams,Brigham Young,RB,72,212,4.59,,30.0,123,4.53,7.25
Brian,Hill,Wyoming,RB,73,219,4.54,15,34.0,125,4.32,7.03
Jeremy,McNichols,Boise State,RB,69,214,4.49,,35.5,121,4.28,6.93
Donnel,Pumphrey,San Diego State,RB,68,176,4.48,5,33.5,117,,
James,Conner,Pittsburgh,RB,73,233,4.65,20,29.0,113,,
Matthew,Dayes,North Carolina State,RB,69,205,4.66,18,28.0,109,,
DeAngelo,Henderson,Coastal Carolina,RB,67,208,4.48,20,34.0,120,,
Corey,Clement,Wisconsin,RB,70,220,4.68,19,28.5,115,,
T.J.,Logan,North Carolina,RB,69,196,4.37,17,33.5,121,,
Elijah,McGuire,Louisiana,RB,70,214,4.53,15,36.0,120,4.56,7.26
Tarik,Cohen,North Carolina AT,RB,66,179,4.42,11,31.5,118,,
Joe,Williams,Utah,RB,71,210,4.41,14,35.0,125,4.19,7.19
ITavius,Mathers,Middle Tennessee,RB,71,203,4.46,,,,,
Justin,Davis,Southern California,RB,73,208,4.53,21,,,,
Aaron,Jones,Texas-El Paso,RB,69,208,4.56,16,37.5,127,4.2,6.82
DeVeon,Smith,Michigan,RB,71,223,4.85,22,29.0,108,4.56,7.3
Chris,Carson,Oklahoma State,RB,72,218,4.58,23,37.0,130,,
Dare,Ogunbowale,Wisconsin,RB,71,213,4.65,14,35.0,120,4.34,6.99
Elijah,Hood,North Carolina,RB,72,232,4.57,18,,,,
Taquan,Mizzell,Virginia,RB,70,197,4.55,,,,,
William,Stanback,Virginia Union,RB,72,233,4.55,,,,,
Joseph,Yearby,Miami (FL),RB,69,185,4.67,,,,,
Teriyon,Gipson,New Mexico,RB,68,187,4.46,,,,,
Trey,Edmunds,Maryland,RB,73,223,4.48,,,,,
Stanley,Williams,Kentucky,RB,67,190,4.51,18,36.0,121,4.18,6.86
Matt,Breida,Georgia Southern,RB,69,195,4.39,,,,,
Jahad,Thomas,Temple,RB,70,190,4.62,11,32.0,116,,
LeShun,Daniels,Iowa,RB,71,222,4.57,,,,,
Anthony,Wales,Western Kentucky,RB,69,197,4.51,,,,,
Devine,Redding,Indiana,RB,68,205,4.76,16,30.5,116,4.46,7.18
Tarean,Folston,Notre Dame,RB,69,199,4.76,,,,,
DeShawn,Jones,Campbell,RB,71,203,4.54,,,,,
Brionte,Dunn,Ohio State,RB,72,214,4.49,,,,,
Justin,Thomas,Georgia Tech,RB,69,186,4.35,,,,,
Brandon,Radcliff,Louisville,RB,69,206,4.55,,,,,
Khalfani,Muhammad,California,RB,67,170,4.38,,,,,
Devante,Mays,Utah State,RB,70,230,4.52,,,,,
Jakhari,Gore,Marian,RB,69,186,4.48,,,,,
Jonah,Hodges,San Diego,RB,69,190,4.54,,,,,
Marcus,Cox,Appalachian State,RB,70,211,4.65,,,,,
Sam,Rogers,Virginia Tech,FB,70,231,4.93,19,32.0,114,4.34,7.27
Freddie,Stevenson,Florida State,FB,72,234,4.75,24,28.0,111,4.45,7.65
Prescott,Line,Michigan State,FB,71,246,4.96,,,,,
Marquez,Williams,Miami (FL),FB,70,259,4.73,,,,,
Anthony,Firkser,Harvard,FB,74,246,4.82,,,,,
Emanuel,Byrd,Marshall,FB,74,239,4.66,,,,,
Algernon,Brown,Brigham Young,FB,72,235,4.63,,,,,
Shane,Smith,San Jose State,FB,73,244,4.81,,,,,
Tyler,Renew,Citadel,FB,71,233,4.66,,,,,
Kody,Walker,Arkansas,FB,72,232,4.88,,,,,
Emmanuel,Holder,Towson,FB,71,249,4.99,,,,,
Chad,Newell,Montana State,FB,73,215,4.76,,,,,
Dakota,Ball,Alabama,FB,74,271,5.16,,,,,
Danny,Nwosu,Colorado State,FB,75,245,4.82,,,,,
Michael,Zunica,Kansas,FB,71,237,4.93,,,,,
Keith,Rucker,Georgia State,FB,74,241,4.79,,,,,
Darrin,Laufasa,Texas-El Paso,FB,73,235,4.81,,,,,
Trent,Cowan,Idaho,FB,74,224,4.87,,,,,
Joe,Bacci,Central Michigan,FB,74,240,4.73,,,,,
Tyler,McCloskey,Houston,FB,73,237,4.91,,,,,
Quinn,Zamora,Northern Colorado,FB,71,219,4.89,,,,,
Aaron,Peck,Fresno State,FB,74,239,4.68,,,,,
Dreon,Johnson,Towson,FB,70,237,4.99,,,,,
Maximo,Espitia,Portland State,FB,74,239,4.87,,,,,
Kendall,Couamin,Liberty,FB,73,250,4.97,,,,,
Jarred,Gipson,Nevada,FB,72,239,4.81,,,,,
John,Robinson-Woodgett,Massachusetts,FB,73,248,4.79,,,,,
Deon,Hutchinson,Sam Houston State,FB,72,265,5.01,,,,,
Jaymar,Parrish,Pittsburgh,FB,73,273,4.98,,,,,
EJ,Junior,Tennessee State,FB,72,234,4.96,,,,,
Max,Betkowski,Cal Poly,FB,75,249,4.67,,,,,
Trey,Foster,Nebraska,FB,74,245,4.88,,,,,
Juwaan,Rogers,Southeastern Louisiana,FB,71,240,5.11,,,,,
Kenneth,Goins,Maryland,FB,69,217,4.69,,,,,
Tim,Cook,Oregon State,FB,72,242,4.64,,,,,
Deon,Watson,Idaho,FB,75,222,4.73,,,,,
Kody,Kohl,Arizona State,FB,74,243,4.71,,,,,
Ricky,Ortiz,Oregon State,FB,73,230,4.9,,,,,
Tyler,Scalzi,Texas Tech,FB,75,239,4.84,,,,,
Andrew,Stefanelli,Maryland,FB,69,229,5.16,,,,,
Grant,Radakovich,Clemson,FB,73,254,5.08,,,,,
Connor,Cella,Rice,FB,74,248,4.91,,,,,
Brendan,Douglas,Georgia,FB,70,220,4.73,,,,,
Dondre,Brown,South Carolina State,FB,72,242,4.88,,,,,
Kenny,Johnston,Florida Tech,FB,75,226,4.87,,,,,
Lamar,Atkins,Louisville,FB,71,236,4.8,,,,,
Tanner,Fink,Kentucky,FB,73,240,4.84,,,,,
Marcus,McGill,Buffalo,FB,73,241,4.79,,,,,
Jordan,Ellis,Wyoming,FB,73,245,4.85,,,,,
Shawn,White,Navy,FB,71,264,5.1,,,,,
O.J.,Howard,Alabama,TE,78,251,4.51,22,30.0,121,4.16,6.85
David,Njoku,Miami (FL),TE,76,246,4.64,21,37.5,133,4.34,6.97
Evan,Engram,Mississippi,TE,75,234,4.42,19,36.0,124,4.23,6.92
Adam,Shaheen,Ashland,TE,78,278,4.79,24,32.5,121,4.38,7.09
Gerald,Everett,South Alabama,TE,75,239,4.62,22,37.5,125,4.33,6.99
Jake,Butt,Michigan,TE,77,246,4.74,,,,,
Jordan,Leggett,Clemson,TE,77,258,4.71,,33.0,113,4.33,7.12
George,Kittle,Iowa,TE,76,247,4.52,18,35.0,132,,
Bucky,Hodges,Virginia Tech,TE,78,257,4.57,18,39.0,134,4.45,
Jonnu,Smith,Florida International,TE,75,248,4.62,22,38.0,126,4.18,
Jeremy,Sprinkle,Arkansas,TE,77,252,4.69,,29.0,115,,
Cole,Hikutini,Louisville,TE,76,247,4.85,20,,,,
Eric,Saubert,Drake,TE,77,253,4.69,22,33.0,121,,
Michael,Roberts,Toledo,TE,76,270,4.86,,30.0,110,4.51,7.05
Jason,Croom,Tennessee,TE,76,252,4.69,,,,,
Cethan,Carter,Nebraska,TE,75,241,4.68,19,,,,
Blake,Jarwin,Oklahoma State,TE,77,246,4.73,,,,,
Billy,Brown,Shepherd,TE,75,254,4.7,23,29.0,116,,
Ricky,Seals-Jones,Texas AM,TE,77,243,4.69,17,28.0,121,4.33,7.46
Jacob,Hollister,Wyoming,TE,76,239,4.64,,,,,
Pharaoh,Brown,Oregon,TE,78,255,4.83,24,34.0,,,
Brandon,Barnes,Alabama State,TE,77,255,4.72,,,,,
Keith,Towbridge,Louisville,TE,76,262,4.72,,,,,
Nate,Iese,UCLA,TE,75,252,4.97,,,,,
Darrell,Daniels,Washington,TE,75,247,4.55,17,32.0,115,4.47,7.09
Josiah,Price,Michigan State,TE,76,249,4.89,,,,,
Phazahn,Odom,Fordham,TE,80,251,4.79,,,,,
Johnny,Mundt,Oregon,TE,76,243,4.74,,,,,
Scott,Orndoff,Pittsburgh,TE,77,253,4.84,17,27.0,111,4.45,7.37
Steven,Wroblewski,Southern Utah,TE,79,252,4.64,,,,,
Jake,Maulhardt,Wyoming,TE,77,241,4.71,,,,,
Jonathan,Dorsey,Alabama AM,TE,78,234,4.63,,,,,
Hayden,Plinke,Texas-El Paso,TE,76,264,4.97,18,28.0,109,4.59,7.55
Mason,Schreck,Buffalo,TE,76,253,4.76,,,,,
